Sub_id1,Sub_id2,click_hour,click_day_of_week,commission_level
oppo,purple,10,5,1
oppo,purple,23,6,1
oppo,purple,23,6,0
oppo,purple,23,6,0
judydoll,white,2,5,1
judydoll,purple,18,0,1
colgateOpticWhite,white,0,6,1
colgateOpticWhite,white,0,6,1
oppo,purple,18,1,1
judydoll,purple,16,5,1
nude,red,13,2,1
nude,red,13,2,0
nude,red,13,2,0
judydoll,white,1,5,1
judydoll,purple,13,5,0
colgateOpticWhite,white,0,6,0
colgateOpticWhite,white,0,6,0
oppo,white,0,5,1
flowdays,purple,11,5,1
flowdays,purple,11,5,0
colgateOpticWhite,white,4,4,1
nude,purple,9,4,1
colgateOpticWhite,white,8,2,1
judydoll,white,8,5,1
judydoll,white,8,5,1
judydoll,white,8,5,1
judydoll,white,8,5,1
judydoll,white,8,5,1
judydoll,white,8,5,0
judydoll,white,1,5,1
judydoll,white,1,5,0
colgateOpticWhite,purple,0,4,1
flowdays,white,0,5,1
flowdays,purple,23,4,1
flowdays,purple,2,3,0
colgateOpticWhite,purple,4,4,1
colgateOpticWhite,purple,23,3,1
colgateOpticWhite,purple,0,4,1
flowdays,purple,23,2,0
flowdays,purple,23,2,0
flowdays,purple,23,2,1
nude,white,0,4,1
nude,white,0,4,0
nude,white,0,4,1
nude,white,0,4,1
nude,white,0,4,1
flowdays,purple,21,3,1
colgateOpticWhite,white,5,4,1
colgateOpticWhite,white,5,4,1
colgateOpticWhite,white,5,4,1
nude,purple,19,2,0
flowdays,red,4,4,0
flowdays,red,4,4,0
flowdays,red,4,4,0
flowdays,purple,1,3,1
colgateOpticWhite,purple,0,4,0
colgateOpticWhite,purple,0,4,1
colgateOpticWhite,purple,0,4,1
nude,white,23,3,0
nude,white,23,3,0
flowdays,purple,9,3,0
flowdays,white,20,2,0
nude,white,23,1,0
nude,white,23,1,0
flowdays,purple,23,2,0
flowdays,white,18,2,1
flowdays,purple,0,3,1
flowdays,purple,0,3,0
flowdays,purple,0,3,0
flowdays,purple,0,3,1
flowdays,purple,1,3,0
flowdays,purple,0,3,0
nude,purple,0,1,1
oppo,red,23,1,0
dentistemax,white,23,2,1
nude,purple,6,1,1
flowdays,white,20,2,1
flowdays,white,20,2,0
colgateOpticWhite,white,5,2,1
colgateOpticWhite,white,10,2,0
colgateOpticWhite,white,10,2,0
