รหัสคลิก,เวลาคลิก,ภาคที่คลิก,Sub_id,อ้างอิง
af7446f9425ae7777a55bf717b461db1,2026-03-01 00:03:00,Thailand,,Shopeevideo-Shopee
6eab441d93ef7a790cfbb369c837de4e,2026-03-01 00:05:00,Thailand,judydoll-purple----,Facebook
ffcd2cf17a7897a9cd83f3ff8fb6d623,2026-03-01 00:11:00,Thailand,,Shopeevideo-Shopee
381e482923053b69f56d037741412f9d,2026-03-01 00:14:00,Thailand,judydoll-purple----,Facebook
3dc5ba9963a480c8639cbdea97ba7feb,2026-03-01 00:14:00,Thailand,judydoll-purple----,Facebook
932e85caa25604f73f2a9acb7f2ddbf0,2026-03-01 00:16:00,Thailand,judydoll-purple----,Facebook
eccc9714b5f9e082f38a57d3910a88af,2026-03-01 00:16:00,Thailand,judydoll-purple----,Facebook
bacd7c40e7a63917bbe75d8e640b3d25,2026-03-01 00:18:00,Thailand,judydoll-purple----,Facebook
d506f29155ebdc54e8e51a67609da371,2026-03-01 00:18:00,Thailand,judydoll-purple----,Others
2489c877cd80eb83bdd9fa88c324561f,2026-03-01 00:37:00,Thailand,judydoll-purple----,Facebook
68c060672c22f591c16fe810df00bf6a,2026-03-01 00:38:00,Thailand,judydoll-purple----,Facebook
de547ea8b49ea40a47e704028ca99f63,2026-03-01 00:38:00,Thailand,judydoll-purple----,Facebook
77e4d388242c0f02526aaa3f7cffee1e,2026-03-01 00:43:00,Thailand,judydoll-blue----,Facebook
a879084a19be7828949d639b0b89d66f,2026-03-01 00:57:00,Thailand,,Shopeevideo-Shopee
36cd5d409d7f816cb0f22ccbae5235e5,2026-03-01 01:03:00,Thailand,judydoll-purple----,Facebook
724c375441a9cf54d06a83f132642d25,2026-03-01 01:06:00,Thailand,,Shopeevideo-Shopee
baf32b748f7eea78cae9728967546ede,2026-03-01 01:06:00,Thailand,,Shopeevideo-Shopee
79fd7e1eb12ff3e3d64188d14b128788,2026-03-01 01:14:00,Thailand,nude----,Facebook
5b8e6f455490fe0941aaf80b9e1ed5cc,2026-03-01 01:24:00,Thailand,judydoll-purple----,Facebook
182c1565a17ef5059d4f7c9e21409c42,2026-03-01 01:24:00,Thailand,judydoll-purple----,Facebook
5a59991ff92156cfaea1a7a9461e68b4,2026-03-01 01:30:00,Thailand,----,Others
18f659dda536ad439c8738f1823510bb,2026-03-01 01:42:00,Thailand,----,Others
941c0258359fd97efe9dd4f2d7b99e7f,2026-03-01 01:57:00,Thailand,nude----,Facebook
5260e885544b476264309d7da2c1e2a2,2026-03-01 02:23:00,Thailand,judydoll-purple----,Facebook
1e72a2376981a1c16552a2f962006b85,2026-03-01 02:23:00,Thailand,judydoll-purple----,Facebook
43c8ad5ad05fcaf1ef61b40c89b972c2,2026-03-01 02:33:00,Thailand,aircandy----,Others
9f38f03d6c5ee163ecefb612ed3747cc,2026-03-01 02:33:00,Thailand,jisulife----,Others
6d33e9948c26418b846dda1d27119ca6,2026-03-01 04:25:00,Thailand,,Shopeevideo-Shopee
9db437b77c0ccba32977e392c0db863e,2026-03-01 05:27:00,Thailand,,Shopeevideo-Shopee
35ce65872e3e9a0f70fe600e8801d07d,2026-03-01 05:39:00,Thailand,,Shopeevideo-Shopee
5e2a411d142e453f625cefa8949bbb38,2026-03-01 05:39:00,Thailand,,Shopeevideo-Shopee
c192715cf13af0e3b1946ee4b9599965,2026-03-01 06:05:00,Thailand,judydoll-purple----,Facebook
b238854af5cf20ff7daa46d6eff406e1,2026-03-01 06:05:00,Thailand,judydoll-purple----,Facebook
95a6c869dfbad424c195c1a589739cd2,2026-03-01 06:19:00,Thailand,,Shopeevideo-Shopee
87f33eeeeb254ce2b20c2ca9ef0a2395,2026-03-01 07:14:00,Thailand,,Shopeevideo-Shopee
229ab1e873c90f3dca87964be88e89f1,2026-03-01 08:28:00,Thailand,niveaCreme-red---,Facebook
